distrib,cont_size,liter_cont,liter_drink,sug_add,sug_other,sug_unspec,sug_tot,mix_r,cont_type,bev_type,SSB_status
dining,0.295735494,131.30630000000002,131.30630000000002,0,0,81.15,81.15,0,glass,coffee_milk,SSB
dining,0.295735494,114.15379999999999,114.15379999999999,0,0,77.77000000000001,77.77000000000001,0,glass,coffee_milk,SSB
dining,0.340095818,16.3246,16.3246,0,0,2.94,2.94,0,plastic,soda,SSB
dining,0.340095818,53.054899999999996,53.054899999999996,0,0,2.94,2.94,0,plastic,soda,SSB
dining,0.340095818,28.567999999999998,28.567999999999998,0,0,2.94,2.94,0,plastic,soda,SSB
dining,0.340095818,12.2434,12.2434,0,0,2.94,2.94,0,plastic,soda,SSB
dining,0.340095818,48.9737,48.9737,0,0,2.94,2.94,0,plastic,soda,SSB
dining,0.340095818,40.81139999999999,40.81139999999999,0,0,2.94,2.94,0,plastic,soda,SSB
dining,0.325309044,30.9049,30.9049,0,0,61.48,61.48,0,glass,coffee_milk,SSB
dining,0.325309044,44.8332,44.8332,0,0,64.55,64.55,0,glass,coffee_milk,SSB
dining,0.325309044,326.93519999999995,326.93519999999995,0,0,64.55,64.55,0,glass,coffee_milk,SSB
dining,0.325309044,47.1698,47.1698,33.81,0,0,33.81,0,glass,coffee,SSB
dining,0.325309044,184.77559999999997,184.77559999999997,0,0,67.63,67.63,0,glass,coffee_milk,SSB
dining,0.325309044,423.5518,423.5518,33.81,0,0,33.81,0,glass,coffee,SSB
dining,0.354882593,8.517199999999999,8.517199999999999,31,8.45,0,39.449999999999996,0,alum_can,soda,SSB
dining,0.354882593,60.6834,60.6834,33.81,5.64,0,39.449999999999996,0,alum_can,soda,SSB
dining,0.354882593,51.103,51.103,33.81,4.23,0,38.04,0,alum_can,soda,SSB
dining,0.354882593,55.008100000000006,55.008100000000006,33.81,8.45,0,42.27,0,alum_can,soda,SSB
dining,0.354882593,783.5795,783.5795,104.26,0,0,104.26,0,alum_can,soda,SSB
dining,0.354882593,36.5561,36.5561,50.72,2.82,0,53.54,0,alum_can,soda,SSB
dining,0.354882593,70.62169999999999,70.62169999999999,0,0,56.36,56.36,0,alum_can,soda,SSB
dining,0.354882593,161.82620000000003,161.82620000000003,31,8.45,0,39.449999999999996,0,plastic,soda,SSB
dining,0.354882593,1371.26,1371.26,115.52999999999999,0,0,115.52999999999999,0,plastic,soda,SSB
dining,0.354882593,4.2586,4.2586,104.26,0,0,104.26,0,plastic,juice,SSB
dining,0.405157627,238.2323,238.2323,59.24,2.4699999999999998,0,61.699999999999996,0,glass,coffee_milk,SSB
dining,0.405157627,272.2655,272.2655,66.64,2.4699999999999998,0,69.11,0,glass,coffee_milk,SSB
dining,0.405157627,527.9739000000001,527.9739000000001,83.91999999999999,32.09,0,116,0,glass,coffee_milk,SSB
dining,0.405157627,491.91709999999995,491.91709999999995,78.97999999999999,34.55,0,113.54,0,glass,coffee_milk,SSB
dining,0.405157627,116.6852,116.6852,76.50999999999999,32.09,0,108.60000000000001,0,glass,coffee_milk,SSB
dining,0.405157627,813.1916,813.1916,78.97999999999999,34.55,0,113.54,0,glass,coffee_milk,SSB
dining,0.405157627,87.5139,87.5139,74.05000000000001,32.09,0,106.13,0,glass,coffee_milk,SSB
dining,0.405157627,111.82329999999999,111.82329999999999,74.05000000000001,34.55,0,108.60000000000001,0,glass,coffee_milk,SSB
dining,0.405157627,780.766,780.766,78.97999999999999,34.55,0,113.54,0,glass,coffee_milk,SSB
dining,0.408114982,249.35800000000003,249.35800000000003,0,0,88.21,88.21,0,plastic,tea,SSB
dining,0.414029692,158.57309999999998,158.57309999999998,48.31,0,0,48.31,0,plastic,tea,SSB
dining,0.414029692,68.3151,68.3151,48.31,0,0,48.31,0,plastic,tea,SSB
dining,0.414029692,120.8965,120.8965,48.31,0,0,48.31,0,plastic,tea,SSB
dining,0.414029692,29.810100000000002,29.810100000000002,41.06,0,0,41.06,0,plastic,tea,SSB
dining,0.414029692,158.98710000000003,158.98710000000003,62.8,36.23,0,99.03,0,glass,coffee_milk,SSB
dining,0.414029692,145.32420000000002,145.32420000000002,0,0,91.78,91.78,0,glass,coffee_milk,SSB
dining,0.414029692,84.46190000000001,84.46190000000001,55.550000000000004,26.57,0,82.12,0,glass,coffee_milk,SSB
dining,0.414029692,193.76559999999998,193.76559999999998,60.38,26.57,0,86.95,0,glass,coffee_milk,SSB
dining,0.414029692,29.3961,29.3961,62.8,38.64,0,101.44,0,glass,coffee_milk,SSB
dining,0.414029692,34.778400000000005,34.778400000000005,0,0,84.54,84.54,0,glass,coffee_milk,SSB
dining,0.414029692,114.27199999999999,114.27199999999999,55.550000000000004,26.57,0,82.12,0,glass,coffee_milk,SSB
dining,0.473176791,599.514,599.514,92.99000000000001,8.45,0,101.44,0,plastic,juice,SSB
dining,0.449517951,80.91310000000001,80.91310000000001,91.21,17.8,0,109.00999999999999,0,plastic,juice,SSB
dining,0.449517951,165.8701,165.8701,0,0,84.54,84.54,0,plastic,juice,SSB
dining,0.449517951,35.06230000000001,35.06230000000001,84.54,21.13,0,105.67,0,plastic,juice,SSB
dining,0.443603241,387.5019,387.5019,27.05,38.32,0,65.37,0,alum_can,coffee_milk,SSB
dining,0.443603241,53.23230000000001,53.23230000000001,0,0,51.85,51.85,0,alum_can,soda,SSB
dining,0.443603241,930.2319,930.2319,27.05,38.32,0,65.37,0,alum_can,coffee_milk,SSB
dining,0.443603241,1080.35,1080.35,0,0,56.36,56.36,0,alum_can,coffee_milk,SSB
dining,0.443603241,276.808,276.808,27.05,38.32,0,65.37,0,alum_can,coffee_milk,SSB
dining,0.443603241,319.3938,319.3938,27.05,40.58,0,67.63,0,alum_can,coffee_milk,SSB
dining,0.443603241,346.01,346.01,27.05,38.32,0,65.37,0,alum_can,coffee_milk,SSB
dining,0.443603241,106.46460000000002,106.46460000000002,0,0,51.85,51.85,0,alum_can,soda,SSB
dining,0.443603241,541.1958000000001,541.1958000000001,27.05,38.32,0,65.37,0,glass,coffee_milk,SSB
dining,0.499792985,2.9238,2.9238,58.02,0,0,58.02,0,carton,soda,SSB
dining,0.499792985,38.9858,38.9858,0,0,60.019999999999996,60.019999999999996,0,carton,juice,SSB
dining,0.473176791,90.8498,90.8498,0,0,12.68,12.68,0,alum_can,soda,SSB
dining,0.473176791,240.37720000000002,240.37720000000002,35.93,6.34,0,42.27,0,alum_can,soda,SSB
dining,0.473176791,67.6641,67.6641,0,0,12.68,12.68,0,alum_can,soda,SSB
dining,0.473176791,117.9703,117.9703,48.61,0,0,48.61,0,alum_can,soda,SSB
dining,0.473176791,107.8841,107.8841,48.61,0,0,48.61,0,alum_can,soda,SSB
dining,0.473176791,119.24040000000001,119.24040000000001,48.61,0,0,48.61,0,alum_can,soda,SSB
dining,0.473176791,113.5622,113.5622,48.61,0,0,48.61,0,alum_can,soda,SSB
dining,0.473176791,238.4807,238.4807,33.81,8.45,0,42.27,0,alum_can,soda,SSB
dining,0.473176791,17.034300000000002,17.034300000000002,126.8,6.34,0,133.14000000000001,0,alum_can,soda,SSB
dining,0.473176791,22.7124,22.7124,145.82,0,0,145.82,0,alum_can,soda,SSB
dining,0.473176791,56.7811,56.7811,0,0,135.26,135.26,0,alum_can,soda,SSB
dining,0.473176791,22.7124,22.7124,0,0,101.44,101.44,0,alum_can,soda,SSB
dining,0.473176791,339.2655,339.2655,31.7,8.45,0,40.15,0,alum_can,soda,SSB
dining,0.473176791,321.75780000000003,321.75780000000003,33.81,6.34,0,40.15,0,alum_can,soda,SSB
dining,0.473176791,414.9776,414.9776,35.93,6.34,0,42.27,0,alum_can,soda,SSB
dining,0.473176791,96.5279,96.5279,12.68,8.45,0,21.13,0,carton,milk_an,SSB
dining,0.473176791,147.6309,147.6309,14.79,6.34,0,21.13,0,carton,milk_an,SSB
dining,0.473176791,738.1546,738.1546,0,0,131.03,131.03,0,alum_can,soda,SSB
dining,0.473176791,22.7124,22.7124,0,0,101.44,101.44,0,alum_can,soda,SSB
dining,0.473176791,283.4324,283.4324,0,0,126.8,126.8,0,alum_can,soda,SSB
dining,0.473176791,68.1373,68.1373,0,0,12.68,12.68,0,alum_can,soda,SSB
dining,0.473176791,5.6781,5.6781,0,0,59.17,59.17,0,plastic,soda,SSB
dining,0.473176791,5.6781,5.6781,0,0,59.17,59.17,0,plastic,soda,SSB
dining,0.473176791,5.6781,5.6781,0,0,59.17,59.17,0,plastic,soda,SSB
dining,0.473176791,5.6781,5.6781,0,0,59.17,59.17,0,plastic,soda,SSB
dining,0.473176791,5.6781,5.6781,0,0,59.17,59.17,0,plastic,soda,SSB
dining,0.473176791,5.6781,5.6781,0,0,59.17,59.17,0,plastic,soda,SSB
dining,0.473176791,5.6781,5.6781,0,0,59.17,59.17,0,plastic,soda,SSB
dining,0.473176791,210.0901,210.0901,88.76,12.68,0,101.44,0,glass,juice,SSB
dining,0.473176791,357.7210999999999,357.7210999999999,88.76,6.34,0,95.10000000000001,0,glass,juice,SSB
dining,0.473176791,266.87129999999996,266.87129999999996,103.56,2.11,0,105.67,0,glass,juice,SSB
dining,0.473176791,323.65240000000006,323.65240000000006,82.41999999999999,12.68,0,95.10000000000001,0,glass,juice,SSB
dining,0.473176791,357.7210999999999,357.7210999999999,84.54,0,0,84.54,0,glass,juice,SSB
dining,0.473176791,283.9056,283.9056,76.08,0,0,76.08,0,glass,juice,SSB
dining,0.473176791,272.54940000000005,272.54940000000005,76.08,0,0,76.08,0,glass,juice,SSB
dining,0.547110664,157.5676,157.5676,0,0,49.35,49.35,0,plastic,tea,SSB
dining,0.547110664,328.2659,328.2659,0,0,49.35,49.35,0,plastic,tea,SSB
dining,0.547110664,601.2734000000002,601.2734000000002,0,0,84.08,84.08,0,plastic,tea,SSB
dining,0.547110664,1534.1,1534.1,0,0,74.94000000000001,74.94000000000001,0,plastic,tea,SSB
dining,0.547110664,37.7506,37.7506,0,0,118.81,118.81,0,plastic,tea,SSB
dining,0.53232389,76.6545,76.6545,0,0,1.88,1.88,0,plastic,juice,SSB
dining,0.53232389,166.0848,166.0848,0,0,1.88,1.88,0,plastic,juice,SSB
dining,0.53232389,6.387899999999999,6.387899999999999,0,0,1.88,1.88,0,plastic,juice,SSB
dining,0.53232389,57.4909,57.4909,0,0,1.88,1.88,0,plastic,juice,SSB
dining,0.53232389,63.8788,63.8788,0,0,1.88,1.88,0,plastic,juice,SSB
dining,0.53232389,121.3696,121.3696,0,0,1.88,1.88,0,plastic,juice,SSB
dining,0.53232389,70.26660000000001,70.26660000000001,0,0,1.88,1.88,0,plastic,juice,SSB
dining,1,109.9953,109.9953,130,0,0,130,0,plastic,soda,SSB
dining,1,77.0054,77.0054,0,0,115.48,115.48,0,plastic,soda,SSB
dining,0.591470988,396.87629999999996,396.87629999999996,92.99000000000001,0,0,92.99000000000001,0,plastic,soda,SSB
dining,0.591470988,1902.1699999999998,1902.1699999999998,57.480000000000004,0,0,57.480000000000004,0,plastic,soda,SSB
dining,0.591470988,466.0793,466.0793,49.029999999999994,0,0,49.029999999999994,0,plastic,soda,SSB
dining,0.591470988,28.3906,28.3906,40.58,6.760000000000001,0,47.34,0,plastic,soda,SSB
dining,0.591470988,28.3906,28.3906,43.96,3.3800000000000003,0,47.34,0,plastic,soda,SSB
dining,0.591470988,269.1188,269.1188,120.03999999999999,0,0,120.03999999999999,0,plastic,soda,SSB
dining,0.591470988,42.5858,42.5858,0,0,125.11,125.11,0,plastic,soda,SSB
dining,0.591470988,850.7852,850.7852,0,0,0.83,0.83,0,plastic,soda,SSB
dining,0.591470988,1757.85,1757.85,57.480000000000004,0,0,57.480000000000004,0,plastic,soda,SSB
dining,0.591470988,99.367,99.367,57.480000000000004,0,0,57.480000000000004,0,plastic,soda,SSB
dining,0.591470988,1787.42,1787.42,0,0,57.480000000000004,57.480000000000004,0,plastic,soda,SSB
dining,0.591470988,141.95280000000002,141.95280000000002,0,0,20.29,20.29,0,plastic,soda,SSB
