scen,bev_type,SSB_status,cont_type,impact_type,item,value
scen0,coffee,non_SSB,alum_can,ghg,bev,54009.390201580456
scen0,coffee,non_SSB,alum_can,h2o,bev,1404.6002481075136
scen0,coffee,non_SSB,glass,ghg,bev,384198.33075353387
scen0,coffee,non_SSB,glass,h2o,bev,9991.689754036786
scen0,coffee,non_SSB,plastic,ghg,bev,79936.77615128562
scen0,coffee,non_SSB,plastic,h2o,bev,2078.8832311556994
scen0,coffee,SSB,alum_can,ghg,bev,5731.577049792099
scen0,coffee,SSB,alum_can,h2o,bev,350.8968426922024
scen0,coffee,SSB,glass,ghg,bev,265036.48964914726
scen0,coffee,SSB,glass,h2o,bev,16225.982239824163
scen0,coffee,SSB,plastic,ghg,bev,16202.708316020546
scen0,coffee,SSB,plastic,h2o,bev,991.9572120836324
scen0,coffee_milk,non_SSB,alum_can,ghg,bev,14588.111816349998
scen0,coffee_milk,non_SSB,alum_can,h2o,bev,5084.241684757999
scen0,coffee_milk,non_SSB,glass,ghg,bev,335071.86424065
scen0,coffee_milk,non_SSB,glass,h2o,bev,116779.08429880199
scen0,coffee_milk,non_SSB,plastic,ghg,bev,56949.905350749985
scen0,coffee_milk,non_SSB,plastic,h2o,bev,19848.153508309995
scen0,coffee_milk,SSB,alum_can,ghg,bev,3659456.6318314048
scen0,coffee_milk,SSB,alum_can,h2o,bev,1362426.398357747
scen0,coffee_milk,SSB,glass,ghg,bev,12224740.604990916
scen0,coffee_milk,SSB,glass,h2o,bev,4551306.652589073
scen0,coffee_milk,SSB,plastic,ghg,bev,1630331.0378408777
scen0,coffee_milk,SSB,plastic,h2o,bev,606977.0098367784
scen0,juice,non_SSB,alum_can,ghg,bev,194915.51899582654
scen0,juice,non_SSB,alum_can,h2o,bev,43553.93134670434
scen0,juice,non_SSB,glass,ghg,bev,617466.1165650772
scen0,juice,non_SSB,glass,h2o,bev,137972.989469183
scen0,juice,non_SSB,plastic,ghg,bev,35414751.137499824
scen0,juice,non_SSB,plastic,h2o,bev,7913436.793795333
scen0,juice,non_SSB,carton,ghg,bev,1053234.4581372724
scen0,juice,non_SSB,carton,h2o,bev,235345.55646477954
scen0,juice,SSB,alum_can,ghg,bev,7561597.170812123
scen0,juice,SSB,alum_can,h2o,bev,2015314.0649491171
scen0,juice,SSB,glass,ghg,bev,4765698.775237176
scen0,juice,SSB,glass,h2o,bev,1270152.2646722454
scen0,juice,SSB,plastic,ghg,bev,11658014.593632925
scen0,juice,SSB,plastic,h2o,bev,3107089.7125570048
scen0,juice,SSB,carton,ghg,bev,637602.5477297617
scen0,juice,SSB,carton,h2o,bev,169933.5938242228
scen0,juice,SSB,bag_in_box,ghg,bev,61062583.542884216
scen0,juice,SSB,bag_in_box,h2o,bev,16274377.049748112
scen0,milk_almond,non_SSB,carton,ghg,bev,154191.9882958
scen0,milk_almond,non_SSB,carton,h2o,bev,62305.855873299995
scen0,milk_almond,SSB,plastic,ghg,bev,2424172.147215311
scen0,milk_almond,SSB,plastic,h2o,bev,1013211.577635162
scen0,milk_almond,SSB,carton,ghg,bev,18569900.806836892
scen0,milk_almond,SSB,carton,h2o,bev,7761510.878935339
scen0,milk_an,non_SSB,plastic,ghg,bev,65238295.370649494
scen0,milk_an,non_SSB,plastic,h2o,bev,29976759.34289654
scen0,milk_an,non_SSB,carton,ghg,bev,1863006.176983306
scen0,milk_an,non_SSB,carton,h2o,bev,856044.559479456
scen0,milk_an,SSB,plastic,ghg,bev,513057.2332082786
scen0,milk_an,SSB,plastic,h2o,bev,239809.33966949323
scen0,milk_an,SSB,carton,ghg,bev,383510.57205547317
scen0,milk_an,SSB,carton,h2o,bev,179257.6170611303
scen0,milk_an,SSB,bag_in_box,ghg,bev,26555886.837861847
scen0,milk_an,SSB,bag_in_box,h2o,bev,12412552.196374878
scen0,milk_other_plant,non_SSB,carton,ghg,bev,0
scen0,milk_other_plant,non_SSB,carton,h2o,bev,0
scen0,milk_other_plant,non_SSB,bag_in_box,ghg,bev,0
scen0,milk_other_plant,non_SSB,bag_in_box,h2o,bev,0
scen0,milk_other_plant,SSB,carton,ghg,bev,1102761.6216373825
scen0,milk_other_plant,SSB,carton,h2o,bev,186641.92604202018
scen0,milk_other_plant,SSB,bag_in_box,ghg,bev,2419046.5381421177
scen0,milk_other_plant,SSB,bag_in_box,h2o,bev,409422.57710577984
scen0,milk_soy,non_SSB,carton,ghg,bev,6396653.501111302
scen0,milk_soy,non_SSB,carton,h2o,bev,105678.12471650002
scen0,milk_soy,SSB,carton,ghg,bev,19917868.104804
scen0,milk_soy,SSB,carton,h2o,bev,966314.0697799999
scen0,probiotic,non_SSB,plastic,ghg,bev,113338.67810432999
scen0,probiotic,non_SSB,plastic,h2o,bev,19648.51320096
scen0,probiotic,SSB,glass,ghg,bev,1560368.5879712002
scen0,probiotic,SSB,glass,h2o,bev,332478.45357440005
scen0,soda,non_SSB,alum_can,ghg,bev,1140437.1409053612
scen0,soda,non_SSB,alum_can,h2o,bev,501248.5539532657
scen0,soda,non_SSB,glass,ghg,bev,141826.23364286983
scen0,soda,non_SSB,glass,h2o,bev,62335.91662026193
scen0,soda,non_SSB,plastic,ghg,bev,919036.9603669201
scen0,soda,non_SSB,plastic,h2o,bev,403938.04348375887
scen0,soda,non_SSB,bag_in_box,ghg,bev,1762504.6450613488
scen0,soda,non_SSB,bag_in_box,h2o,bev,774661.6389322135
scen0,soda,SSB,alum_can,ghg,bev,2284888.7693600627
scen0,soda,SSB,alum_can,h2o,bev,1653361.2303820418
scen0,soda,SSB,glass,ghg,bev,135734.37576407543
scen0,soda,SSB,glass,h2o,bev,98218.32796757267
scen0,soda,SSB,plastic,ghg,bev,7917297.962763053
scen0,soda,SSB,plastic,h2o,bev,5729011.265910053
scen0,soda,SSB,carton,ghg,bev,321.9887383168009
scen0,soda,SSB,carton,h2o,bev,232.99326588301636
scen0,soda,SSB,bag_in_box,ghg,bev,19409683.867150497
scen0,soda,SSB,bag_in_box,h2o,bev,14044980.758037651
scen0,tea,non_SSB,alum_can,ghg,bev,72039.50022030232
scen0,tea,non_SSB,alum_can,h2o,bev,9155.036319310755
scen0,tea,non_SSB,glass,ghg,bev,149320.00248078653
scen0,tea,non_SSB,glass,h2o,bev,18976.117848273378
scen0,tea,non_SSB,plastic,ghg,bev,409953.0171099522
scen0,tea,non_SSB,plastic,h2o,bev,52098.28981843658
scen0,tea,non_SSB,bag_in_box,ghg,bev,725396.3637089587
scen0,tea,non_SSB,bag_in_box,h2o,bev,92185.95402997927
scen0,tea,SSB,alum_can,ghg,bev,6142540.317312036
scen0,tea,SSB,alum_can,h2o,bev,3454874.685961682
scen0,tea,SSB,glass,ghg,bev,3869489.9748668307
scen0,tea,SSB,glass,h2o,bev,2176396.453446478
scen0,tea,SSB,plastic,ghg,bev,2351684.575997416
scen0,tea,SSB,plastic,h2o,bev,1322706.0941026742
scen0,tea,SSB,bag_in_box,ghg,bev,127049.44251991822
scen0,tea,SSB,bag_in_box,h2o,bev,71459.01860676569
scen0,water_bottled,non_SSB,plastic,ghg,bev,3961809.1123512
scen0,water_bottled,non_SSB,plastic,h2o,bev,219164.4018861
scen0,water_ucsb,non_SSB,steel_bott_reuse,ghg,bev,0
scen0,water_ucsb,non_SSB,steel_bott_reuse,h2o,bev,0
scen1,coffee,non_SSB,alum_can,ghg,bev,0
scen1,coffee,non_SSB,alum_can,h2o,bev,0
scen1,coffee,non_SSB,glass,ghg,bev,0
scen1,coffee,non_SSB,glass,h2o,bev,0
scen1,coffee,non_SSB,plastic,ghg,bev,0
scen1,coffee,non_SSB,plastic,h2o,bev,0
scen1,coffee,SSB,alum_can,ghg,bev,0
scen1,coffee,SSB,alum_can,h2o,bev,0
scen1,coffee,SSB,glass,ghg,bev,0
scen1,coffee,SSB,glass,h2o,bev,0
scen1,coffee,SSB,plastic,ghg,bev,0
scen1,coffee,SSB,plastic,h2o,bev,0
scen1,coffee_milk,non_SSB,alum_can,ghg,bev,0
scen1,coffee_milk,non_SSB,alum_can,h2o,bev,0
scen1,coffee_milk,non_SSB,glass,ghg,bev,0
scen1,coffee_milk,non_SSB,glass,h2o,bev,0
scen1,coffee_milk,non_SSB,plastic,ghg,bev,0
scen1,coffee_milk,non_SSB,plastic,h2o,bev,0
scen1,coffee_milk,SSB,alum_can,ghg,bev,0
scen1,coffee_milk,SSB,alum_can,h2o,bev,0
scen1,coffee_milk,SSB,glass,ghg,bev,0
scen1,coffee_milk,SSB,glass,h2o,bev,0
scen1,coffee_milk,SSB,plastic,ghg,bev,0
scen1,coffee_milk,SSB,plastic,h2o,bev,0
scen1,juice,non_SSB,alum_can,ghg,bev,0
scen1,juice,non_SSB,alum_can,h2o,bev,0
scen1,juice,non_SSB,glass,ghg,bev,0
scen1,juice,non_SSB,glass,h2o,bev,0
scen1,juice,non_SSB,plastic,ghg,bev,0
scen1,juice,non_SSB,plastic,h2o,bev,0
scen1,juice,non_SSB,carton,ghg,bev,0
scen1,juice,non_SSB,carton,h2o,bev,0
scen1,juice,SSB,alum_can,ghg,bev,0
scen1,juice,SSB,alum_can,h2o,bev,0
scen1,juice,SSB,glass,ghg,bev,0
scen1,juice,SSB,glass,h2o,bev,0
scen1,juice,SSB,plastic,ghg,bev,0
scen1,juice,SSB,plastic,h2o,bev,0
scen1,juice,SSB,carton,ghg,bev,0
scen1,juice,SSB,carton,h2o,bev,0
scen1,juice,SSB,bag_in_box,ghg,bev,0
scen1,juice,SSB,bag_in_box,h2o,bev,0
scen1,milk_almond,non_SSB,carton,ghg,bev,0
scen1,milk_almond,non_SSB,carton,h2o,bev,0
scen1,milk_almond,SSB,plastic,ghg,bev,0
scen1,milk_almond,SSB,plastic,h2o,bev,0
scen1,milk_almond,SSB,carton,ghg,bev,0
scen1,milk_almond,SSB,carton,h2o,bev,0
scen1,milk_an,non_SSB,plastic,ghg,bev,0
scen1,milk_an,non_SSB,plastic,h2o,bev,0
scen1,milk_an,non_SSB,carton,ghg,bev,0
scen1,milk_an,non_SSB,carton,h2o,bev,0
scen1,milk_an,SSB,plastic,ghg,bev,0
scen1,milk_an,SSB,plastic,h2o,bev,0
scen1,milk_an,SSB,carton,ghg,bev,0
scen1,milk_an,SSB,carton,h2o,bev,0
scen1,milk_an,SSB,bag_in_box,ghg,bev,0
scen1,milk_an,SSB,bag_in_box,h2o,bev,0
scen1,milk_other_plant,non_SSB,carton,ghg,bev,0
scen1,milk_other_plant,non_SSB,carton,h2o,bev,0
scen1,milk_other_plant,non_SSB,bag_in_box,ghg,bev,0
scen1,milk_other_plant,non_SSB,bag_in_box,h2o,bev,0
scen1,milk_other_plant,SSB,carton,ghg,bev,0
scen1,milk_other_plant,SSB,carton,h2o,bev,0
scen1,milk_other_plant,SSB,bag_in_box,ghg,bev,0
scen1,milk_other_plant,SSB,bag_in_box,h2o,bev,0
scen1,milk_soy,non_SSB,carton,ghg,bev,0
scen1,milk_soy,non_SSB,carton,h2o,bev,0
scen1,milk_soy,SSB,carton,ghg,bev,0
scen1,milk_soy,SSB,carton,h2o,bev,0
scen1,probiotic,non_SSB,plastic,ghg,bev,0
scen1,probiotic,non_SSB,plastic,h2o,bev,0
scen1,probiotic,SSB,glass,ghg,bev,0
scen1,probiotic,SSB,glass,h2o,bev,0
scen1,soda,non_SSB,alum_can,ghg,bev,0
scen1,soda,non_SSB,alum_can,h2o,bev,0
scen1,soda,non_SSB,glass,ghg,bev,0
scen1,soda,non_SSB,glass,h2o,bev,0
scen1,soda,non_SSB,plastic,ghg,bev,0
scen1,soda,non_SSB,plastic,h2o,bev,0
scen1,soda,non_SSB,bag_in_box,ghg,bev,0
scen1,soda,non_SSB,bag_in_box,h2o,bev,0
scen1,soda,SSB,alum_can,ghg,bev,0
scen1,soda,SSB,alum_can,h2o,bev,0
scen1,soda,SSB,glass,ghg,bev,0
scen1,soda,SSB,glass,h2o,bev,0
scen1,soda,SSB,plastic,ghg,bev,0
scen1,soda,SSB,plastic,h2o,bev,0
scen1,soda,SSB,carton,ghg,bev,0
scen1,soda,SSB,carton,h2o,bev,0
scen1,soda,SSB,bag_in_box,ghg,bev,0
scen1,soda,SSB,bag_in_box,h2o,bev,0
scen1,tea,non_SSB,alum_can,ghg,bev,0
scen1,tea,non_SSB,alum_can,h2o,bev,0
scen1,tea,non_SSB,glass,ghg,bev,0
scen1,tea,non_SSB,glass,h2o,bev,0
scen1,tea,non_SSB,plastic,ghg,bev,0
