scen,cont_type,bev_regex,Coffee,Coffee + milk,Juice,Soda,Tea,"Milk, animal",Plant milk,Almond milk,Soy milk,Probiotic,"Water, bottled","Water, Filtered tap"
Baseline,alum_can,Coffee,0.14727622133046714,0,0,0,0,0,0,0,0,0,0,0
Baseline,alum_can,Coffee~+ milk,0,4.55851280748631,0,0,0,0,0,0,0,0,0,0
Baseline,alum_can,Juice,0,0,8.12234737907154,0,0,0,0,0,0,0,0,0
Baseline,alum_can,Soda,0,0,0,43.9090049405157,0,0,0,0,0,0,0,0
Baseline,alum_can,Tea,0,0,0,0,54.70655113407811,0,0,0,0,0,0,0
Baseline,bag_in_box,Juice,0,0,63.89010532180827,0,0,0,0,0,0,0,0,0
Baseline,bag_in_box,"Milk*','*~animal",0,0,0,0,0,22.41719096734107,0,0,0,0,0,0
Baseline,bag_in_box,Plant~milk,0,0,0,0,0,0,5.178435939371117,0,0,0,0,0
Baseline,bag_in_box,Soda,0,0,0,212.04331623977222,0,0,0,0,0,0,0,0
Baseline,bag_in_box,Tea,0,0,0,0,10.175199078225562,0,0,0,0,0,0,0
Baseline,carton,Almond~milk,0,0,0,0,0,0,0,61.33212641546936,0,0,0,0
Baseline,carton,Juice,0,0,1.805157023739575,0,0,0,0,0,0,0,0,0
Baseline,carton,"Milk*','*~animal",0,0,0,0,0,1.907549852790412,0,0,0,0,0,0
Baseline,carton,Plant~milk,0,0,0,0,0,0,2.360674060628883,0,0,0,0,0
Baseline,carton,Soda,0,0,0,0.0029238000043295626,0,0,0,0,0,0,0,0
Baseline,carton,Soy~milk,0,0,0,0,0,0,0,0,42.19533,0,0,0
Baseline,glass,Coffee,1.5892019618488606,0,0,0,0,0,0,0,0,0,0,0
Baseline,glass,Coffee~+ milk,0,15.590333422831982,0,0,0,0,0,0,0,0,0,0
Baseline,glass,Juice,0,0,5.653554082692987,0,0,0,0,0,0,0,0,0
Baseline,glass,Probiotic,0,0,0,0,0,0,0,0,0,5.575360000000001,0,0
Baseline,glass,Soda,0,0,0,4.1128854771487235,0,0,0,0,0,0,0,0
Baseline,glass,Tea,0,0,0,0,35.76085684730966,0,0,0,0,0,0,0
Baseline,plastic,Almond~milk,0,0,0,0,0,0,0,7.939773584530642,0,0,0,0
Baseline,plastic,Coffee,0.23661781682067212,0,0,0,0,0,0,0,0,0,0,0
Baseline,plastic,Coffee~+ milk,0,2.0946907696817054,0,0,0,0,0,0,0,0,0,0
Baseline,plastic,Juice,0,0,50.463826192687634,0,0,0,0,0,0,0,0,0
Baseline,plastic,"Milk*','*~animal",0,0,0,0,0,55.89452917986851,0,0,0,0,0,0
Baseline,plastic,Probiotic,0,0,0,0,0,0,0,0,0,0.416703,0,0
Baseline,plastic,Soda,0,0,0,90.55733954255906,0,0,0,0,0,0,0,0
Baseline,plastic,Tea,0,0,0,0,25.721452940386666,0,0,0,0,0,0,0
Baseline,plastic,"Water*','*~bottled",0,0,0,0,0,0,0,0,0,0,104.48889,0
Baseline,steel_bott_reuse,"Water*','*~Filtered tap",0,0,0,0,0,0,0,0,0,0,0,0
scen1,alum_can,Coffee,0,0,0,0,0,0,0,0,0,0,0,0
scen1,alum_can,Coffee~+ milk,0,0,0,0,0,0,0,0,0,0,0,0
scen1,alum_can,Juice,0,0,0,0,0,0,0,0,0,0,0,0
scen1,alum_can,Soda,0,0,0,0,0,0,0,0,0,0,0,0
scen1,alum_can,Tea,0,0,0,0,0,0,0,0,0,0,0,0
scen1,bag_in_box,Juice,0,0,0,0,0,0,0,0,0,0,0,0
scen1,bag_in_box,"Milk*','*~animal",0,0,0,0,0,0,0,0,0,0,0,0
scen1,bag_in_box,Plant~milk,0,0,0,0,0,0,0,0,0,0,0,0
scen1,bag_in_box,Soda,0,0,0,0,0,0,0,0,0,0,0,0
scen1,bag_in_box,Tea,0,0,0,0,0,0,0,0,0,0,0,0
scen1,carton,Almond~milk,0,0,0,0,0,0,0,0,0,0,0,0
scen1,carton,Juice,0,0,0,0,0,0,0,0,0,0,0,0
scen1,carton,"Milk*','*~animal",0,0,0,0,0,0,0,0,0,0,0,0
scen1,carton,Plant~milk,0,0,0,0,0,0,0,0,0,0,0,0
scen1,carton,Soda,0,0,0,0,0,0,0,0,0,0,0,0
scen1,carton,Soy~milk,0,0,0,0,0,0,0,0,0,0,0,0
scen1,glass,Coffee,0,0,0,0,0,0,0,0,0,0,0,0
scen1,glass,Coffee~+ milk,0,0,0,0,0,0,0,0,0,0,0,0
scen1,glass,Juice,0,0,0,0,0,0,0,0,0,0,0,0
scen1,glass,Probiotic,0,0,0,0,0,0,0,0,0,0,0,0
scen1,glass,Soda,0,0,0,0,0,0,0,0,0,0,0,0
scen1,glass,Tea,0,0,0,0,0,0,0,0,0,0,0,0
scen1,plastic,Almond~milk,0,0,0,0,0,0,0,0,0,0,0,0
scen1,plastic,Coffee,0,0,0,0,0,0,0,0,0,0,0,0
scen1,plastic,Coffee~+ milk,0,0,0,0,0,0,0,0,0,0,0,0
scen1,plastic,Juice,0,0,0,0,0,0,0,0,0,0,0,0
scen1,plastic,"Milk*','*~animal",0,0,0,0,0,0,0,0,0,0,0,0
scen1,plastic,Probiotic,0,0,0,0,0,0,0,0,0,0,0,0
scen1,plastic,Soda,0,0,0,0,0,0,0,0,0,0,0,0
scen1,plastic,Tea,0,0,0,0,0,0,0,0,0,0,0,0
scen1,plastic,"Water*','*~bottled",0,0,0,0,0,0,0,0,0,0,0,0
scen1,steel_bott_reuse,"Water*','*~Filtered tap",0,0,0,0,0,0,0,0,0,0,0,940.84768999999994
scen2_1,alum_can,Coffee,0.4017157184149895,0,0,0,0,0,0,0,0,0,0,0
scen2_1,alum_can,Coffee~+ milk,0,0.055556178490814755,0,0,0,0,0,0,0,0,0,0
scen2_1,alum_can,Juice,0,0,0.6340486045311381,0,0,0,0,0,0,0,0,0
scen2_1,alum_can,Soda,0,0,0,69.72822383579386,0,0,0,0,0,0,0,0
scen2_1,alum_can,Tea,0,0,0,0,2.709446961387932,0,0,0,0,0,0,0
scen2_1,bag_in_box,Juice,0,0,0,0,0,0,0,0,0,0,0,0
scen2_1,bag_in_box,"Milk*','*~animal",0,0,0,0,0,0,0,0,0,0,0,0
scen2_1,bag_in_box,Plant~milk,0,0,0,0,0,0,0,0,0,0,0,0
scen2_1,bag_in_box,Soda,0,0,0,107.76246580754129,0,0,0,0,0,0,0,0
scen2_1,bag_in_box,Tea,0,0,0,0,27.282573691414843,0,0,0,0,0,0,0
scen2_1,carton,Almond~milk,0,0,0,0,0,0,0,1.53849,0,0,0,0
scen2_1,carton,Juice,0,0,3.426109125976499,0,0,0,0,0,0,0,0,0
scen2_1,carton,"Milk*','*~animal",0,0,0,0,0,4.768153266546556,0,0,0,0,0,0
scen2_1,carton,Plant~milk,0,0,0,0,0,0,0,0,0,0,0,0
scen2_1,carton,Soda,0,0,0,0,0,0,0,0,0,0,0,0
scen2_1,carton,Soy~milk,0,0,0,0,0,0,0,0,31.69286,0,0,0
scen2_1,glass,Coffee,2.857623607236715,0,0,0,0,0,0,0,0,0,0,0
scen2_1,glass,Coffee~+ milk,0,1.2760604340953854,0,0,0,0,0,0,0,0,0,0
scen2_1,glass,Juice,0,0,2.008580597226489,0,0,0,0,0,0,0,0,0
scen2_1,glass,Probiotic,0,0,0,0,0,0,0,0,0,0,0,0
scen2_1,glass,Soda,0,0,0,8.671491843370509,0,0,0,0,0,0,0,0
scen2_1,glass,Tea,0,0,0,0,5.616011018382768,0,0,0,0,0,0,0
scen2_1,plastic,Almond~milk,0,0,0,0,0,0,0,0,0,0,0,0
