scen_name,Climate [ t CO2eq (100yr) ],Plastic Pollution [ kg plastic ],Water use (Blue) [ M liter (Blue) ]
Baseline,491.42944912633277,422.22302581212676,117.67178179348268
scen 1,22.072004553093,2.352119225,2.0705235113829996
scen 2.1,534.6544988610369,755.8034507120003,126.43547458124173
scen 2.2,477.39859334841447,521.3639271769301,94.01437533631702
scen 2.3,323.39897381676735,942.2158683972787,46.81661257555502
scen 2.4,192.33345934566296,252.6215203472786,43.38008276066081
scen 3.1,218.3260397667712,1034.932459,7.2162923738231
scen 3.2,43.86763259730719,117.028676,2.6420035525711003
scen 4,469.6338210821185,307.54646903712677,117.10030175229458
scen 5.1,513.0703431315294,59.073166058601714,117.14111005889029
scen 5.2,303.1981588941741,51.47235606010287,68.00224797068904
scen 6.1,489.47921512797814,422.2230130357149,114.80678318970665
scen 6.2,478.83688434170165,439.64953095201724,112.30087281274045
