distrib,bev_type,cont_type,SSB_status,vol_cont,mix_r_avg,vol_kL
dining,coffee,alum_can,non_SSB,133.4356,0,0.1334356
dining,coffee,alum_can,SSB,13.8404,0,0.013840400000000001
dining,coffee,glass,non_SSB,949.2004,0,0.9492003999999999
dining,coffee,glass,SSB,640.0003,0,0.6400003000000001
dining,coffee,plastic,non_SSB,197.4918,0,0.19749180000000002
dining,coffee,plastic,SSB,39.12570000000001,0,0.039125700000000006
dining,coffee_milk,alum_can,non_SSB,18.4538,0,0.0184538
dining,coffee_milk,alum_can,SSB,3876.877,0,3.876877
dining,coffee_milk,glass,non_SSB,423.86220000000003,0,0.4238622
dining,coffee_milk,glass,SSB,8036.5053,0,8.0365053
dining,coffee_milk,plastic,non_SSB,72.041,0,0.072041
dining,coffee_milk,plastic,SSB,2022.6499,0,2.0226499
dining,juice,alum_can,non_SSB,210.6081,0,0.21060810000000002
dining,juice,alum_can,SSB,7849.634899999999,0,7.849634899999999
dining,juice,bag_in_box,SSB,12889.3129,3.956827636638412,63.8901024
dining,juice,carton,non_SSB,1138.03,0,1.1380299999999999
dining,juice,carton,SSB,667.1269,0,0.6671269
dining,juice,glass,non_SSB,667.1781,0,0.6671781
dining,juice,glass,SSB,4986.3757,0,4.9863757
dining,juice,plastic,non_SSB,37195.2288,0,37.195228799999995
dining,juice,plastic,SSB,12197.842,0,12.197842000000001
dining,milk_almond,carton,non_SSB,511.03,0,0.51103
dining,milk_almond,carton,SSB,60821.097299999994,0,60.82109729999999
dining,milk_almond,plastic,SSB,7939.7737,0,7.9397737
dining,milk_an,bag_in_box,SSB,22417.19,0,22.417189999999998
dining,milk_an,carton,non_SSB,1583.8086999999998,0,1.5838086999999998
dining,milk_an,carton,SSB,323.741,0,0.323741
dining,milk_an,plastic,non_SSB,55461.4263,0,55.4614263
dining,milk_an,plastic,SSB,433.098,0,0.43309800000000004
dining,milk_other_plant,bag_in_box,SSB,863.0730000000001,4.999999999999999,5.178438
dining,milk_other_plant,carton,SSB,2360.675,0,2.360675
dining,milk_soy,carton,non_SSB,10527.227299999999,0,10.527227299999998
dining,milk_soy,carton,SSB,31668.0968,0,31.6680968
dining,probiotic,glass,SSB,5575.3618,0,5.5753618
dining,probiotic,plastic,non_SSB,416.7025,0,0.4167025
dining,soda,alum_can,non_SSB,18130.4921,0,18.130492099999998
dining,soda,alum_can,SSB,12251.6541,0,12.2516541
dining,soda,bag_in_box,non_SSB,5965.8015,5.000000000000001,35.794809
dining,soda,bag_in_box,SSB,29374.7508,4.999999999999999,176.2485048
dining,soda,carton,SSB,2.9238,0,0.0029238
dining,soda,glass,non_SSB,2880.3572,0,2.8803571999999997
dining,soda,glass,SSB,1232.5281,0,1.2325281
dining,soda,plastic,non_SSB,11166.6967,0,11.166696700000001
dining,soda,plastic,SSB,30576.4408,0,30.5764408
dining,tea,alum_can,non_SSB,899.9807,0,0.8999807
dining,tea,alum_can,SSB,53806.5686,0,53.8065686
dining,tea,bag_in_box,non_SSB,1510.3814,5.000000000000001,9.062288400000002
dining,tea,bag_in_box,SSB,185.48499999999999,5,1.1129099999999998
dining,tea,glass,non_SSB,1865.4366,0,1.8654366
dining,tea,glass,SSB,33869.7048,0,33.8697048
dining,tea,plastic,non_SSB,4082.5295,0,4.0825295
dining,tea,plastic,SSB,12687.9676,0,12.6879676
dining,water_bottled,plastic,non_SSB,80328.7545,0,80.3287545
vending,coffee_milk,alum_can,SSB,663.1822999999999,0,0.6631822999999999
vending,coffee_milk,glass,SSB,7129.9669,0,7.1299669
vending,juice,alum_can,SSB,62.10399999999999,0,0.06210399999999999
vending,juice,plastic,non_SSB,1070.7517,0,1.0707517
vending,soda,alum_can,non_SSB,5030.7119,0,5.0307119
vending,soda,alum_can,SSB,8496.1454,0,8.4961454
