distrib,bev_type,SSB_status,cont_type,liter_drink,liter_cont,scen
vending,coffee_milk,SSB,alum_can,663.1822999999999,663.1822999999999,scen0
vending,coffee_milk,SSB,glass,7129.9669,7129.9669,scen0
vending,juice,non_SSB,plastic,1070.7517,1070.7517,scen0
vending,juice,SSB,alum_can,62.10399999999999,62.10399999999999,scen0
vending,soda,non_SSB,alum_can,5030.7119,5030.7119,scen0
vending,soda,non_SSB,plastic,7498.0782,7498.0782,scen0
vending,soda,SSB,alum_can,8496.1454,8496.1454,scen0
vending,soda,SSB,plastic,41316.1226,41316.1226,scen0
vending,tea,non_SSB,plastic,1038.9636,1038.9636,scen0
vending,tea,SSB,glass,25.7142,25.7142,scen0
vending,tea,SSB,plastic,7911.9912,7911.9912,scen0
vending,water_bottled,non_SSB,plastic,24160.1348,24160.1348,scen0
dining,coffee,non_SSB,alum_can,133.4356,133.4356,scen0
dining,coffee,non_SSB,glass,949.2004,949.2004,scen0
dining,coffee,non_SSB,plastic,197.4918,197.4918,scen0
dining,coffee,SSB,alum_can,13.8404,13.8404,scen0
dining,coffee,SSB,glass,640.0003,640.0003,scen0
dining,coffee,SSB,plastic,39.12570000000001,39.12570000000001,scen0
dining,coffee_milk,non_SSB,alum_can,18.4538,18.4538,scen0
dining,coffee_milk,non_SSB,glass,423.86220000000003,423.86220000000003,scen0
dining,coffee_milk,non_SSB,plastic,72.041,72.041,scen0
dining,coffee_milk,SSB,alum_can,3876.877,3876.877,scen0
dining,coffee_milk,SSB,glass,8036.5053,8036.5053,scen0
dining,coffee_milk,SSB,plastic,2022.6499,2022.6499,scen0
dining,juice,non_SSB,alum_can,210.6081,210.6081,scen0
dining,juice,non_SSB,carton,1138.03,1138.03,scen0
dining,juice,non_SSB,glass,667.1781,667.1781,scen0
dining,juice,non_SSB,plastic,37195.2288,37195.2288,scen0
dining,juice,SSB,alum_can,7849.634899999999,7849.634899999999,scen0
dining,juice,SSB,bag_in_box,63890.1024,12889.3129,scen0
dining,juice,SSB,carton,667.1269,667.1269,scen0
dining,juice,SSB,glass,4986.3757,4986.3757,scen0
dining,juice,SSB,plastic,12197.842,12197.842,scen0
dining,milk_almond,non_SSB,carton,511.03,511.03,scen0
dining,milk_almond,SSB,carton,60821.097299999994,60821.097299999994,scen0
dining,milk_almond,SSB,plastic,7939.7737,7939.7737,scen0
dining,milk_an,non_SSB,carton,1583.8086999999998,1583.8086999999998,scen0
dining,milk_an,non_SSB,plastic,55461.4263,55461.4263,scen0
